&#8220,&#8220
(hidden) conditional random fields,(hidden) conditional random fields
10-Fold Cross-Validation,10-fold cross-validation
1D Convolution,1D Convolution
1D-LDA,1D LDA
1D-LSTM,1D LSTM
1D paths,1D paths
1ST-GRADE,1ST-GRADE
1ST-GRADERS,1ST-GRADERS
2D architectural floor plans,2D architectural floor plans
2D-grammar,2D grammar
2DLSTM,2D LSTM
2D-LSTM,2D LSTM
2D Self-sttention,2D self-attention
2-D SHAPE MATCHING,2D shape matching
3 axis accelerometer,3 axis accelerometer
3-axis accelerometer,3 axis accelerometer
3D air-writing,3D air-writing
3D feature,3D feature
3D hand tracking,3D hand tracking
3D Handwriting,3D handwriting
3D handwriting recognition,3D handwriting
3D-handwritten character recognition,3D handwritten character recognition
3D motion tracking,3D motion tracking
3D Sketching,3D Sketching
3D space handwriting,3D space handwriting
3D structures of plants,3D structures of plants
3G smartphones,3G smartphones
and 6 sigma,6 Sigma
60 GHz,60 GHz
6-DOF motion,6-DOF motion
A deep Q-network strategy,A deep Q-network strategy
a multiple Fermat's spiral,a multiple Fermat's spiral
A* path-planning algorithm,A* path-planning algorithm
Abbreviations,Abbreviations
ABILITIES,Abilities
ABILITY,Abilities
Absolute difference Difference ratio,Absolute difference Difference ratio
Abstract Syntax Tree,Abstract Syntax Tree
ABSTRACTIONIST,Abstractionist
Academic/literate language,Academic/literate language
ACCELERATION,Acceleration
Acceleration,Acceleration
acceleration sensor,acceleration sensor
Accelerators,Accelerators
Accelerometer,Accelerometer
accelerometer,Accelerometer
Accelerometers,Accelerometer
accelerometer-based input device,accelerometer-based input device
Accented characters,Accented characters
ACCESS,Access
Access control,Access control
ACCOUNT,Account
Account security,Account security
accounting system,accounting system
ACCURACY,Accuracy
Accuracy,Accuracy
accuracy,Accuracy
Accuracy prediction,Accuracy prediction
ACCURATE,Accurate
ACHIEVEMENT,Achievement
Acoustic feature modeling,Acoustic Feature Modeling
acoustic model,Acoustic Model
Acoustic sensing,Acoustic Sensing
acoustic signal,Acoustic Signal
ACQUISITION,Acquisition
Acquisition Device Comparison,Acquisition Device Comparison
acquisition devices,Acquisition Devices
ACRC 2021,ACRC 2021
acrostic poem generation,Acrostic Poem Generation
Action planning,Action Planning
action understanding,Action Understanding
AcTiV dataset,Activ Dataset
ACTIVATION,Activation
Activation Function,Activation Function
Activation function,Activation Function
activation function,Activation Function
Activation Functions,Activation Function
Activation layer,Activation Layer
active and real-time vision,Active And Real-Time Vision
Active contour minimization,Active Contour Minimization
